[22/Jul/2021 15:07:32] INFO [django.utils.autoreload:617] Watching for file changes with StatReloader
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:304] Waiting for apps ready_event.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:316] Apps ready_event triggered. Sending autoreload_started signal.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/chattuto/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/drf_yasg/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/channels/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/chattuto/chat/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/rest_framework/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/djoser/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:270] Watching dir /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/corsheaders/locale with glob **/*.mo.
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/django/contrib/admin/apps.py first seen with mtime 1615037689.770883
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/cryptography/x509/name.py first seen with mtime 1615036507.1637414
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/chardet/euctwfreq.py first seen with mtime 1615966188.8995473
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/coreapi/exceptions.py first seen with mtime 1615966189.6993508
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/chardet/sbcharsetprober.py first seen with mtime 1615966188.9035878
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/cryptography/hazmat/primitives/asymmetric/__init__.py first seen with mtime 1615036507.155986
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/twisted/internet/posixbase.py first seen with mtime 1615036507.3568993
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/datetime.py first seen with mtime 1601911782.0
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/ntpath.py first seen with mtime 1601911782.0
[22/Jul/2021 15:07:32] DEBUG [django.utils.autoreload:368] File /Users/christophesurbier/Documents/Programmation/Ionic/ChatTuto/Backend/venv/lib/python3.9/site-packages/pyasn1/type/char.py first seen with mtime 1615036506.6026163
